编号,面积(um²),周长(um),圆度
1,1296.5534654715316,137.33190592755093,0.8638879169183031
2,1578.714808736271,150.3165675013253,0.8780107772336201
3,742.3305138240122,104.780711216873,0.8496586690537201
4,1812.9024113117034,226.92753933788686,0.44239466678856154
5,230.40020199469768,57.157367668794784,0.8862337406504233
6,48822.118419391496,913.3612138501715,0.7354300195058063
7,1098.9774018432017,135.51704682660906,0.7519877539537028
8,8181.416487817197,410.31316063377295,0.6106712464516451
9,3668.728695871734,250.17056371388813,0.7366361815072362
10,294.78601186718856,64.44420051038935,0.8919675504913249
11,17949.753818962257,563.0366220902861,0.7115330422146692
12,851.5338972351976,111.40935755847546,0.8621214783768918
13,997.9800530236083,124.89250322406212,0.8040054348366302
14,527.711147582376,96.56306183739996,0.7111874373862747
15,37254.765812397425,765.2918357527658,0.7993510343508117
16,1429.7437192273705,150.70212423131707,0.7910962274138271
17,102.89104910996089,37.70376256342684,0.9095321935201929
18,354.7531877288222,70.52758610650395,0.8962272218580726
19,31937.255397045832,817.335386356611,0.6007680822282778
20,185.58262845600305,53.32117241420103,0.8202529584310697
21,476.58123974245683,82.96698867604974,0.8700338538622788
22,819.9722257290747,115.13262558519172,0.7773420986940908
23,5996.086352733242,478.0756955736139,0.32967378294453387
24,11042.797626562304,511.285076918227,0.5308389033330667
25,7908.723646004293,349.958409352249,0.811490418833049
26,8453.478096199977,410.3599364837904,0.630834429163388
